"filename", "language", "YAML", "JavaScript", "XML", "JavaScript JSX", "Rust", "PostCSS", "Diff", "HTML", "Ignore", "JSON", "comment", "blank", "total"
"d:\github\cyclemetry-reloaded\.github\workflows\release-linux.yml", "YAML", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 154
"d:\github\cyclemetry-reloaded\.github\workflows\release-macos.yml", "YAML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"d:\github\cyclemetry-reloaded\.github\workflows\release-ms-store.yml", "YAML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 108
"d:\github\cyclemetry-reloaded\.github\workflows\release-win.yml", "YAML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"d:\github\cyclemetry-reloaded\.github\workflows\semantic-release.yml", "YAML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"d:\github\cyclemetry-reloaded\app\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\github\cyclemetry-reloaded\app\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\github\cyclemetry-reloaded\app\eslint.config.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 75
"d:\github\cyclemetry-reloaded\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"d:\github\cyclemetry-reloaded\app\public\logo.svg", "XML", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 1, 2, 145
"d:\github\cyclemetry-reloaded\app\scripts\generate_parse_debug_from_raw_samples.mjs", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\github\cyclemetry-reloaded\app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 42, 22, 264
"d:\github\cyclemetry-reloaded\app\src\api\backend.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 186, 47, 449
