"filename", "language", "JavaScript", "Rust", "YAML", "JavaScript JSX", "JSON", "Ignore", "PostCSS", "Diff", "XML", "HTML", "comment", "blank", "total"
"h:\tools\cyclemetry\.agents\skills\code-review\agents\openai.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\.agents\skills\grill-with-docs\agents\openai.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\.agents\skills\grilling\agents\openai.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\.agents\skills\implement\agents\openai.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\.agents\skills\prototype\agents\openai.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\.agents\skills\resolving-merge-conflicts\agents\openai.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\.agents\skills\tdd\agents\openai.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"h:\tools\cyclemetry\.agents\skills\to-spec\agents\openai.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\.agents\skills\to-tickets\agents\openai.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\.agents\skills\writing-great-skills\agents\openai.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\.github\workflows\release-linux.yml", "YAML", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 20, 154
"h:\tools\cyclemetry\.github\workflows\release-macos.yml", "YAML", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"h:\tools\cyclemetry\.github\workflows\release-ms-store.yml", "YAML", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 12, 20, 108
"h:\tools\cyclemetry\.github\workflows\release-win.yml", "YAML", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"h:\tools\cyclemetry\.github\workflows\semantic-release.yml", "YAML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"h:\tools\cyclemetry\app\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"h:\tools\cyclemetry\app\.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"h:\tools\cyclemetry\app\eslint.config.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 75
"h:\tools\cyclemetry\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"h:\tools\cyclemetry\app\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 1, 2, 145
"h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"h:\tools\cyclemetry\app\src\App.jsx", "JavaScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 42, 22, 264
"h:\tools\cyclemetry\app\src\api\backend.js", "JavaScript", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 50, 477
"h:\tools\cyclemetry\app\src\components\ui\accordion.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 29, 8, 73
"h:\tools\cyclemetry\app\src\components\ui\alert.jsx", "JavaScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 25, 8, 66
"h:\tools\cyclemetry\app\src\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 12, 7, 44
"h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx", "JavaScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 19, 19, 151
"h:\tools\cyclemetry\app\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 13, 7, 60
"h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx", "JavaScript JSX", 0, 0, 0, 1253, 0, 0, 0, 0, 0, 0, 176, 177, 1606
"h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx", "JavaScript JSX", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 16, 11, 104
"h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx", "JavaScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 18, 16, 191
"h:\tools\cyclemetry\app\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 12, 6, 38
"h:\tools\cyclemetry\app\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 10, 5, 33
"h:\tools\cyclemetry\app\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 51, 11, 100
"h:\tools\cyclemetry\app\src\components\ui\progress.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 11, 5, 35
"h:\tools\cyclemetry\app\src\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 76, 14, 208
"h:\tools\cyclemetry\app\src\components\ui\separator.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 12, 6, 37
"h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 14, 7, 41
"h:\tools\cyclemetry\app\src\components\ui\slider.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 14, 7, 66
"h:\tools\cyclemetry\app\src\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 10, 5, 38
"h:\tools\cyclemetry\app\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 29, 10, 91
"h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 10, 26, 132
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 55
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
